channelId,textDisplay,likeCount,publishedAt,updatedAt
UCYem6ZnwfznaU7YweLOR42g,LMM lol,0,2024-10-08T01:28:56Z,2024-10-08T01:28:56Z
UCz9Ca0kr-tzB8g2hs-xRyEA,Fantastic Technology for value Great Lesson,0,2024-10-07T21:21:39Z,2024-10-07T21:21:39Z
UCjb3t3EnkJuQm4MjUv92yEg,"Thank you, this is very useful. I'm curious about how the volume of data might affect the choice of FT vs RAG. If we tune the model again with the new data, would it become much larger over time? On the other hand, if we use RAG, would the restrictions on context length hold us back (i.e. if we don't want a very expensive model)?",0,2024-10-05T11:41:20Z,2024-10-05T11:41:20Z
UCRCKF4lWOi6x0trVdfU40mQ,can u make a video about reinforcement learning and performance evaliation of llm models?,0,2024-10-03T08:55:38Z,2024-10-03T08:55:38Z
UCPh4EK7vzP_tDdSrMIKy0dg,Thank you for this helpful video🙂. Could you please explain the implementation of how we can update the RAG system with the latest information?,0,2024-10-02T09:21:39Z,2024-10-02T09:21:39Z
UCik_1VQ29Kblb50HHdd9VmA,"clear clarificaion, great job!",0,2024-10-02T09:04:02Z,2024-10-02T09:04:02Z
UCIHx8kY5hzol9GTKw9RJP1g,White Deborah Wilson Susan Garcia Cynthia,0,2024-09-27T09:23:25Z,2024-09-27T09:23:25Z
UCXL66wy9vWK-hIOz_kH34Zw,Large Manguage Model! 2:08,0,2024-09-26T01:56:52Z,2024-09-26T01:56:52Z
UCFD6tl9VepbKaIG1Wvqt2pQ,I would like to see a real app that is in production with RAG and fine-tuning.,0,2024-09-25T01:02:18Z,2024-09-25T01:02:18Z
UCIHx8kY5hzol9GTKw9RJP1g,Garcia Kimberly Lopez Karen Hall Mark,0,2024-09-24T05:19:12Z,2024-09-24T05:19:12Z
UCpVgChHecUrpC0Frm8m57gA,Love IBM's short and sharp explainers! Thank you for an excellent video once again :),1,2024-09-21T03:08:11Z,2024-09-21T03:08:11Z
UCR8_4kfPBmNbKj8ZhsvG2ig,sir can you tell me how to make the vectorstore and store it in a specific file to use it every time.,1,2024-09-16T17:47:56Z,2024-09-16T17:48:20Z
UCfwyeKlGfSWCO0u5ulmgpgQ,"Large Language model is ""LMM""?",0,2024-09-13T09:17:27Z,2024-09-13T09:17:27Z
UCLilYIOAZFSxkvpX8qhJ5Eg,Thank you 🙏💛,2,2024-09-12T14:45:19Z,2024-09-12T14:45:19Z
UC2wRDHqm3V649PpObQX2NQw,"I thought the retriever was on the far right, and llm in the middle of both, was I wrong, partially, is that schematic representation doesn't fathom all of the architecture, I'd like to go deeper on that matter.",1,2024-09-12T09:39:44Z,2024-09-12T09:39:44Z
UCf0Bse2zirCnj7nVsslG6kg,"Using “Fine Tuning” , then machine ( accounting software) can be a bookkeeper to prepare financial records for …?",1,2024-09-11T04:57:15Z,2024-09-11T04:57:15Z
UCtZTZt9fI91Xp-PVTPBESQQ,Great explanation ❤,3,2024-09-11T03:00:54Z,2024-09-11T03:00:54Z
UCGocNX9XVdTUpu3XynAMMIg,"So, You are all told to wear your watch on your right hand right?!",2,2024-09-10T13:00:15Z,2024-09-10T13:00:15Z
UCxonvXLhca5oM0EuqoLDDkg,"I wanted to scream ""WHY NOT BOTH⁉️) until 7:35 😂",2,2024-09-10T03:32:34Z,2024-09-10T03:32:34Z
UCYz1lyNitrcgeHKD4v15B_g,"Thank you for the fascinating presentation. Assume certain conditions are similar, how would the cost of rag and fine-tuning differ?",1,2024-09-10T01:12:30Z,2024-09-10T01:12:30Z
UCcAfegKMY33-TWWNnWSNGTg,Euro 2024 World Championship. Nice... of course the LLM could't give a response 😂,9,2024-09-09T20:45:01Z,2024-09-09T20:45:12Z
UCiv24JILVHuUL7vVWWngxAg,Great video!,1,2024-09-09T20:11:57Z,2024-09-09T20:11:57Z
UCL70VrGPBLX6dMz2F5_CUHA,Uhhh okay i see you .....😂😂😂,0,2024-09-09T18:50:40Z,2024-09-09T18:50:40Z
UC6TvBJDioxNqN3aTI6nYRtA,What happens to a model when it is fine-tuned? do you use a database for RAG?,2,2024-09-09T17:50:56Z,2024-09-09T17:50:56Z
UCeEcpLT0Rksvd9tZxNrOhig,"Thank you for the clarification, I had this question in mind last week, and I am glad that you have provided the answers I need.",9,2024-09-09T17:35:11Z,2024-09-09T17:35:11Z
UCnkB3crSKpUWjRhXE_WsPZA,Thank you~!,1,2024-09-09T16:13:58Z,2024-09-09T16:13:58Z
UCFppwV2sxRuWqVGLi6cVMbw,Make a vedio on termonolgioes are often used on ai like benchmark and art of the state and etcc ❤,2,2024-09-09T15:47:17Z,2024-09-09T15:47:17Z
UCbPKYqPZpxN2Ri-7xyfAsrg,"35 minutes after downloading the clip, I received a notification, perhaps due to the weak internet in my country.... Finally, I would like to thank you sir for this wonderful explanation  ",6,2024-09-09T15:46:45Z,2024-09-09T15:46:45Z
UCFppwV2sxRuWqVGLi6cVMbw,Nice vedio and also make a vedio on neural networks in deep like how neiral network is interlinked with deep learning and machine learning and what is actaully neuarl network and architecuture and why architectute is inporatnt fir neural networks and what is neural network actalkuy like a technique or mathematical expression or anything else so make a vedio on all these,2,2024-09-09T15:46:13Z,2024-09-09T15:46:13Z
UCKT13GLszQXq-kjvpoCMItw,cool,3,2024-09-09T15:07:11Z,2024-09-09T15:07:11Z
UC9O6_s2oNyOKOrYg6yVW0fA,"I have just watched the 1 years ago, then it updated today. Amazingg 🎉",6,2024-09-09T15:01:18Z,2024-09-09T15:01:18Z
UCP8n7-8kiWo67mm9Ht9ULHA,Thanks ☺️,2,2024-09-09T15:00:25Z,2024-09-09T15:00:25Z
